"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",33,23,56,
"2019-01-02 00:00:00",41,18,57.5,
"2019-01-03 00:00:00",41,18,58,
"2019-01-04 00:00:00",31,16,55.25,
"2019-01-05 00:00:00",55,21,59.4,
"2019-01-06 00:00:00",35,18,58.333333333333336,
"2019-01-07 00:00:00",43,18,58.714285714285715,
"2019-01-08 00:00:00",37,15,58.142857142857146,
"2019-01-09 00:00:00",30,18,56.57142857142857,
"2019-01-10 00:00:00",30,13,54.285714285714285,
"2019-01-11 00:00:00",34,22,55.57142857142857,
"2019-01-12 00:00:00",28,13,50.57142857142857,
"2019-01-13 00:00:00",36,12,49.857142857142854,
"2019-01-14 00:00:00",32,17,48.142857142857146,
"2019-01-15 00:00:00",32,18,47.857142857142854,
"2019-01-16 00:00:00",42,20,49.857142857142854,
"2019-01-17 00:00:00",28,18,50.285714285714285,
"2019-01-18 00:00:00",33,17,49.42857142857143,
"2019-01-19 00:00:00",42,14,51.57142857142857,
"2019-01-20 00:00:00",33,22,52.57142857142857,
"2019-01-21 00:00:00",25,13,51,
"2019-01-22 00:00:00",28,22,51,
"2019-01-23 00:00:00",32,17,49.142857142857146,
"2019-01-24 00:00:00",29,12,48.42857142857143,
"2019-01-25 00:00:00",24,9,46,
"2019-01-26 00:00:00",45,24,47.857142857142854,
"2019-01-27 00:00:00",31,12,46.142857142857146,
"2019-01-28 00:00:00",33,17,47.857142857142854,
"2019-01-29 00:00:00",34,18,48.142857142857146,
"2019-01-30 00:00:00",34,12,47.714285714285715,
"2019-01-31 00:00:00",43,19,50.714285714285715,
"2019-02-01 00:00:00",38,13,53.285714285714285,
"2019-02-02 00:00:00",45,10,51.285714285714285,
"2019-02-03 00:00:00",31,29,53.714285714285715,
"2019-02-04 00:00:00",40,16,54.57142857142857,
"2019-02-05 00:00:00",32,18,54.285714285714285,
"2019-02-06 00:00:00",34,17,55,
"2019-02-07 00:00:00",30,18,53,
"2019-02-08 00:00:00",27,12,51.285714285714285,
"2019-02-09 00:00:00",35,17,50.857142857142854,
"2019-02-10 00:00:00",46,19,51.57142857142857,
"2019-02-11 00:00:00",36,19,51.42857142857143,
"2019-02-12 00:00:00",33,17,51.42857142857143,
"2019-02-13 00:00:00",45,16,52.857142857142854,
"2019-02-14 00:00:00",30,12,52,
"2019-02-15 00:00:00",37,18,54.285714285714285,
"2019-02-16 00:00:00",51,24,57.57142857142857,
"2019-02-17 00:00:00",36,20,56.285714285714285,
"2019-02-18 00:00:00",37,16,56,
"2019-02-19 00:00:00",36,21,57,
"2019-02-20 00:00:00",39,14,55.857142857142854,
"2019-02-21 00:00:00",30,11,55.714285714285715,
"2019-02-22 00:00:00",31,18,54.857142857142854,
"2019-02-23 00:00:00",41,12,51.714285714285715,
"2019-02-24 00:00:00",29,27,51.714285714285715,
"2019-02-25 00:00:00",40,14,51.857142857142854,
"2019-02-26 00:00:00",31,18,50.714285714285715,
"2019-02-27 00:00:00",35,11,49.714285714285715,
"2019-02-28 00:00:00",29,20,50.857142857142854,
"2019-03-01 00:00:00",31,15,50.42857142857143,
"2019-03-02 00:00:00",35,17,50.285714285714285,
"2019-03-03 00:00:00",38,21,50.714285714285715,
"2019-03-04 00:00:00",20,15,48,
"2019-03-05 00:00:00",31,16,47.714285714285715,
"2019-03-06 00:00:00",47,16,50.142857142857146,
"2019-03-07 00:00:00",30,14,49.42857142857143,
"2019-03-08 00:00:00",31,18,49.857142857142854,
"2019-03-09 00:00:00",39,21,51,
"2019-03-10 00:00:00",35,26,51.285714285714285,
"2019-03-11 00:00:00",37,19,54.285714285714285,
"2019-03-12 00:00:00",27,25,55,
"2019-03-13 00:00:00",27,12,51.57142857142857,
"2019-03-14 00:00:00",37,24,54,
"2019-03-15 00:00:00",35,24,55.42857142857143,
"2019-03-16 00:00:00",54,23,57.857142857142854,
"2019-03-17 00:00:00",32,19,56.42857142857143,
"2019-03-18 00:00:00",25,24,55.42857142857143,
"2019-03-19 00:00:00",28,9,53.285714285714285,
"2019-03-20 00:00:00",43,14,55.857142857142854,
"2019-03-21 00:00:00",27,22,54.142857142857146,
"2019-03-22 00:00:00",35,15,52.857142857142854,
"2019-03-23 00:00:00",41,17,50.142857142857146,
"2019-03-24 00:00:00",38,15,50.42857142857143,
