"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",43,12,55,
"2019-01-02 00:00:00",17,5,38.5,
"2019-01-03 00:00:00",44,16,45.666666666666664,
"2019-01-04 00:00:00",25,11,43.25,
"2019-01-05 00:00:00",39,21,46.6,
"2019-01-06 00:00:00",18,7,43,
"2019-01-07 00:00:00",45,10,44.714285714285715,
"2019-01-08 00:00:00",21,10,41.285714285714285,
"2019-01-09 00:00:00",48,15,47.142857142857146,
"2019-01-10 00:00:00",29,5,43.42857142857143,
"2019-01-11 00:00:00",54,19,48.714285714285715,
"2019-01-12 00:00:00",16,5,43.142857142857146,
"2019-01-13 00:00:00",34,15,46.57142857142857,
"2019-01-14 00:00:00",43,11,46.42857142857143,
"2019-01-15 00:00:00",30,8,47.42857142857143,
"2019-01-16 00:00:00",44,14,46.714285714285715,
"2019-01-17 00:00:00",13,12,45.42857142857143,
"2019-01-18 00:00:00",31,9,40.714285714285715,
"2019-01-19 00:00:00",18,3,40.714285714285715,
"2019-01-20 00:00:00",39,15,41.42857142857143,
"2019-01-21 00:00:00",26,12,39.142857142857146,
"2019-01-22 00:00:00",28,11,39.285714285714285,
"2019-01-23 00:00:00",32,11,37.142857142857146,
"2019-01-24 00:00:00",22,12,38.42857142857143,
"2019-01-25 00:00:00",29,12,38.57142857142857,
"2019-01-26 00:00:00",35,6,41.42857142857143,
"2019-01-27 00:00:00",38,16,41.42857142857143,
"2019-01-28 00:00:00",37,9,42.57142857142857,
"2019-01-29 00:00:00",32,9,42.857142857142854,
"2019-01-30 00:00:00",44,14,45,
"2019-01-31 00:00:00",23,9,44.714285714285715,
"2019-02-01 00:00:00",26,8,43.714285714285715,
"2019-02-02 00:00:00",34,8,43.857142857142854,
"2019-02-03 00:00:00",33,6,41.714285714285715,
"2019-02-04 00:00:00",38,10,42,
"2019-02-05 00:00:00",31,8,41.714285714285715,
"2019-02-06 00:00:00",34,11,39.857142857142854,
"2019-02-07 00:00:00",35,13,42.142857142857146,
"2019-02-08 00:00:00",43,12,45.142857142857146,
"2019-02-09 00:00:00",36,10,45.714285714285715,
"2019-02-10 00:00:00",36,14,47.285714285714285,
"2019-02-11 00:00:00",30,14,46.714285714285715,
"2019-02-12 00:00:00",31,9,46.857142857142854,
"2019-02-13 00:00:00",30,10,46.142857142857146,
"2019-02-14 00:00:00",39,9,46.142857142857146,
"2019-02-15 00:00:00",28,6,43.142857142857146,
"2019-02-16 00:00:00",39,13,44,
"2019-02-17 00:00:00",19,13,41.42857142857143,
"2019-02-18 00:00:00",49,18,44.714285714285715,
"2019-02-19 00:00:00",23,10,43.714285714285715,
"2019-02-20 00:00:00",51,15,47.42857142857143,
"2019-02-21 00:00:00",23,8,45,
"2019-02-22 00:00:00",60,13,50.57142857142857,
"2019-02-23 00:00:00",22,8,47.42857142857143,
"2019-02-24 00:00:00",49,23,53.142857142857146,
"2019-02-25 00:00:00",29,6,48.57142857142857,
"2019-02-26 00:00:00",50,19,53.714285714285715,
"2019-02-27 00:00:00",14,4,46.857142857142854,
"2019-02-28 00:00:00",28,9,47.714285714285715,
"2019-03-01 00:00:00",42,19,46,
"2019-03-02 00:00:00",28,4,46.285714285714285,
"2019-03-03 00:00:00",44,16,44.57142857142857,
"2019-03-04 00:00:00",28,9,44.857142857142854,
"2019-03-05 00:00:00",42,15,43.142857142857146,
"2019-03-06 00:00:00",28,9,45.857142857142854,
"2019-03-07 00:00:00",23,10,45.285714285714285,
"2019-03-08 00:00:00",24,10,41.42857142857143,
"2019-03-09 00:00:00",31,7,42.285714285714285,
"2019-03-10 00:00:00",30,13,39.857142857142854,
"2019-03-11 00:00:00",27,9,39.714285714285715,
"2019-03-12 00:00:00",26,12,37,
"2019-03-13 00:00:00",21,16,37,
"2019-03-14 00:00:00",28,6,37.142857142857146,
"2019-03-15 00:00:00",29,10,37.857142857142854,
"2019-03-16 00:00:00",38,14,39.857142857142854,
"2019-03-17 00:00:00",31,10,39.57142857142857,
"2019-03-18 00:00:00",32,20,41.857142857142854,
"2019-03-19 00:00:00",37,14,43.714285714285715,
"2019-03-20 00:00:00",33,6,44,
"2019-03-21 00:00:00",26,11,44.42857142857143,
"2019-03-22 00:00:00",23,12,43.857142857142854,
"2019-03-23 00:00:00",18,12,40.714285714285715,
"2019-03-24 00:00:00",39,16,42.714285714285715,
